,13_PMUR-invitro.counts,14_PMUR-invitro.counts,15_PMUR-invitro.counts,16_PMUR-invitro.counts,17_PMUR-eSPF.counts,18_PMUR-eSPF.counts,19_PMUR-eSPF.counts,20_PMUR-eSPF.counts,21_PMUR-Conv.counts,22_PMUR-Conv.counts,23_PMUR-Conv.counts,24_PMUR-Conv.counts
PMUR_00211,225,142,193,559,45,29,37,31,31,23,14,40
PMUR_00212,330,257,346,895,70,45,38,41,46,18,23,42
PMUR_00213,33,22,30,101,6,8,7,8,5,2,2,7
PMUR_00214,75,46,74,161,6,4,15,7,11,3,0,14
PMUR_00215,58,45,70,159,8,6,20,10,7,5,0,13
PMUR_00216,810,597,735,1977,2722,2159,2431,1851,2704,1592,1122,2934
PMUR_00217,0,0,0,5,0,0,0,1,0,0,0,0
PMUR_00218,5881,4684,5015,15712,8141,5500,6071,6444,8589,4353,2832,11656
PMUR_00219,8227,6158,6938,19487,12387,8785,8709,10095,12834,6451,4354,16212
PMUR_00220,3498,2861,3327,9678,5750,4302,4166,4972,6082,3282,2126,7569
PMUR_00221,6342,4928,5670,15352,6295,4504,4354,5347,7165,3630,2606,8421
PMUR_00222,4301,2900,3591,10199,6312,4628,4371,5633,7284,4082,2082,8557
PMUR_00223,7353,5123,5871,16479,11313,8525,7501,9603,12548,7161,4137,13649
PMUR_00224,4636,3188,3799,11108,7190,5147,4815,5693,7681,4265,2757,8543
PMUR_00225,10223,7368,9111,25381,33842,24674,28469,28803,33315,23326,14874,37636
PMUR_00226,3464,2448,3228,8242,4872,4528,4835,3859,5057,4069,3289,5928
PMUR_00325,87,91,78,240,501,382,373,387,415,353,218,877
PMUR_00326,22757,16389,18389,48331,55947,36421,25464,52977,46005,33264,18142,96198
PMUR_00327,3313,2582,3000,8208,5902,4313,3028,4610,4026,3127,1897,8860
PMUR_00328,4718,3474,4202,11197,10702,7304,5266,10192,7425,5412,2559,16098
PMUR_00329,5077,3627,4208,11313,10388,7391,4985,9661,7352,5205,2581,14310
PMUR_00330,2143,1551,2096,5509,5036,3668,2549,5093,3652,2975,1185,7005
PMUR_00331,3055,2373,2959,7494,7281,5312,4242,7397,5276,4307,1931,9970
PMUR_00332,3179,2447,3061,7590,6028,4551,3624,5922,3881,3514,1751,7690
PMUR_00333,6237,5126,6016,15786,10749,8636,6542,9949,7134,6066,3367,13047
PMUR_00334,3219,2464,3310,8515,4907,3803,3238,4362,3432,3098,1706,6365
PMUR_00335,3408,2610,2676,7483,5291,4757,4142,5087,4434,3746,2366,7678
PMUR_02415,360,297,347,894,1190,1053,978,1024,1008,547,415,1051
PMUR_02416,329,215,266,746,1030,842,596,876,1259,694,364,1431
PMUR_02417,305,175,242,659,1120,938,618,1004,1010,533,285,841
PMUR_02418,319,258,291,931,1236,1024,777,1236,1405,749,448,1167
PMUR_02419,134,99,118,311,502,423,289,526,621,393,182,558
PMUR_02420,188,130,158,481,550,431,335,579,543,243,165,525
PMUR_02421,334,239,234,743,912,739,472,1139,942,399,227,790
PMUR_02422,421,296,394,1047,1303,950,642,1458,1108,491,327,944
PMUR_02423,728,495,656,1689,3417,2240,1608,2847,2070,899,726,2111
PMUR_02424,2461,1593,1961,5037,44028,30160,23144,55771,36965,16608,10806,32611
PMUR_02425,76,37,55,142,395,203,198,319,121,89,27,197
PMUR_02426,4982,3038,4275,10722,2380,1657,1926,2163,2488,1563,883,3858
PMUR_02427,131,80,90,237,1801,1522,1347,1652,935,516,408,1100
PMUR_02428,144,117,117,328,2170,1830,1446,2090,1212,626,572,1322
PMUR_02429,232,130,208,656,4154,3381,2555,4112,2814,1636,1174,2580
PMUR_02430,514,426,462,1363,9269,7082,5141,9524,6367,3394,2620,5705
PMUR_02431,233,177,215,622,3747,2940,1811,4122,2947,1434,932,2302
PMUR_02432,321,269,334,889,6089,4155,2921,6818,4166,2027,1533,3590
PMUR_02433,218,172,209,648,4581,2995,1913,5279,3183,1501,939,2559
PMUR_02434,654,488,579,1601,9699,5866,3847,9774,5937,2610,1953,5237
PMUR_01154,77,52,74,203,313,115,43,89,30,23,16,32
PMUR_01155,170,139,162,479,327,153,57,133,66,40,40,85
PMUR_01260,12441,8926,10873,29915,14512,11974,15073,11639,13215,13575,6983,15383
PMUR_01261,27850,20938,23752,64749,31489,25787,34572,24465,26972,27385,15864,31994
PMUR_01351,7059,4930,6228,15945,8077,7021,8480,8370,14466,10430,6747,15903
PMUR_01352,62221,38837,47247,124903,65483,56592,64388,49248,83735,70708,35624,89650
PMUR_01353,10565,7827,9587,26455,13148,9081,12567,16307,22369,13487,6098,29857
PMUR_01354,11460,8433,10121,28865,15308,10779,13939,17269,23526,14393,7075,27473
PMUR_01355,4941,3280,4136,11346,7732,5393,6439,8375,12159,6985,2905,12129
PMUR_01356,6893,4923,5825,16469,10866,7456,9277,11448,15920,10072,4598,16350
PMUR_01357,5206,3796,4881,14233,8392,5852,7138,8236,13050,8713,3435,12846
PMUR_01358,11998,8354,10222,28707,18403,13617,17615,17776,26676,18524,8463,28800
PMUR_01359,9911,6522,8642,22321,12844,9379,13729,12887,17266,13522,5985,19180
PMUR_01360,586,454,488,1467,1061,760,1215,938,1152,813,459,1764
