,1_PROD-invitro.counts,10_PROD-Conv.counts,11_PROD-Conv.counts,12_PROD-Conv.counts,2_PROD-invitro.counts,3_PROD-invitro.counts,4_PROD-invitro.counts,5_PROD-eSPF.counts,6_PROD-eSPF.counts,7_PROD-eSPF.counts,8_PROD-eSPF.counts,9_PROD-Conv.counts
PROD_01882,834,27,42,34,810,639,835,4960,6497,4893,9662,65
PROD_01883,876,4,25,5,791,638,710,3181,4946,4059,6560,49
PROD_01884,898,1,27,12,830,692,770,3281,4756,4236,7419,39
PROD_01885,18,0,1,0,24,31,28,172,285,184,394,4
PROD_01886,948,211,221,92,932,966,1185,2199,2160,2229,3264,217
PROD_02112,4458,1003,954,362,4444,3999,4952,7817,5522,6931,9957,1015
PROD_02113,1,0,0,0,4,6,5,1,1,1,2,0
PROD_02114,0,0,0,0,0,3,1,0,0,1,1,0
PROD_02115,20833,3987,3974,1216,24008,20855,24573,17556,25556,13643,36282,8508
PROD_02116,12440,1190,744,328,11237,7949,9458,2771,4126,3309,5082,1104
PROD_02117,3985,454,699,191,3905,3118,3708,1629,1971,944,2893,1168
PROD_02118,7383,1018,824,247,6241,4136,5333,2860,3771,2680,5385,1429
PROD_02119,4275,584,521,140,3919,2468,3111,1595,2192,1309,3442,846
PROD_02120,2419,421,374,91,2239,1524,2035,1620,1925,1289,3355,666
PROD_02121,1197,381,324,103,1319,950,1239,1356,1988,1139,3173,595
PROD_02122,2572,650,445,141,2192,1824,2361,2318,3465,2140,5032,775
PROD_02216,27,7,34,12,25,38,30,16,45,21,17,16
PROD_02217,6,11,36,17,8,18,20,9,12,6,7,43
PROD_02218,21,0,1,0,22,53,41,7,25,28,16,2
PROD_02219,15,4,6,5,13,16,15,3,6,8,7,4
PROD_02220,1,0,0,0,4,10,3,2,1,1,1,0
PROD_02221,3,0,0,0,1,5,4,0,0,0,1,0
PROD_02222,18,0,8,4,11,18,19,4,5,14,4,6
PROD_02223,16,3,20,6,23,56,38,7,14,13,8,7
PROD_02224,460,58,43,16,544,582,573,316,275,339,532,82
PROD_00473,2443,683,1034,359,2435,2283,2765,7195,2814,3011,4708,2227
PROD_00474,523,276,351,125,712,695,883,3319,1385,1094,2662,1066
PROD_00475,1644,755,539,283,1525,1335,1823,5522,2332,3111,5636,1623
PROD_00476,526,447,285,156,598,662,803,3949,3617,3900,4605,539
PROD_00477,3985,165,135,87,2634,1957,1926,842,907,1122,1336,136
PROD_00478,829,314,405,154,982,872,1003,2182,2746,3078,3306,439
PROD_00479,30,5,10,6,25,25,31,41,63,28,42,11
PROD_00480,1619,531,740,312,1940,1696,2014,4393,2994,3170,5481,997
PROD_00481,2390,498,781,291,2336,1745,2131,3656,3031,2653,4299,1168
PROD_00482,7427,1428,1518,750,6546,4257,4579,7252,7179,8296,9729,1893
PROD_02439,251,172,86,52,210,210,232,1190,336,665,1230,116
PROD_02440,2816,1081,744,432,3234,2857,3009,7526,2003,4026,9218,1713
PROD_02441,1850,727,805,360,2426,2676,2946,7356,1700,2584,7524,2090
PROD_02442,1268,307,451,162,1599,1586,1812,3734,809,1105,2881,1180
PROD_02443,1488,369,501,211,1951,2016,2174,4443,918,1238,3135,1381
PROD_02444,1385,280,380,141,1686,1781,1945,3127,673,880,2049,1052
PROD_02445,3267,594,919,340,4000,4029,4521,7024,1281,1768,3743,2107
PROD_02446,32216,873,1098,440,28705,19589,20375,6834,1485,2608,3824,1821
PROD_02447,74,51,59,26,83,93,102,295,138,252,199,41
PROD_02448,21319,3540,4164,2002,24461,23531,28742,56660,18617,30252,56245,7445
PROD_02449,5,0,1,0,2,8,2,4,1,2,5,1
PROD_02450,37217,1550,953,473,34043,24417,25257,8452,6316,7283,11336,1351
PROD_02451,38,257,261,115,35,52,43,1027,1070,1502,1476,376
PROD_02452,71,208,213,76,54,77,54,1472,1276,2223,1894,258
PROD_02453,16,80,105,50,20,20,27,349,266,365,385,110
PROD_02454,6005,328,436,213,5110,4875,5293,4216,1725,2538,3672,693
PROD_02455,2,0,0,0,14,11,3,2,8,9,4,1
PROD_02456,217,214,196,78,263,273,274,687,743,965,1000,164
PROD_02830,4202,1761,3213,1040,4847,4272,5104,8407,5657,3936,9602,2391
PROD_02831,1111,534,1442,442,1441,1222,1545,3312,2384,1624,3908,1070
PROD_00837,148,866,1047,375,118,124,127,5258,4002,5652,6676,1798
PROD_00838,55,181,371,96,50,64,45,1118,850,696,1377,766
PROD_00839,30,272,417,111,32,49,34,1741,1503,1491,2594,1018
PROD_00840,56,325,347,120,63,57,65,1746,1507,1521,2573,764
PROD_00841,42,399,562,157,39,59,48,3392,2739,2620,5314,1563
PROD_00842,37,437,411,159,37,47,35,2798,2635,3717,4650,1019
PROD_01145,61,5,16,0,57,56,54,31,29,38,74,11
PROD_01146,79,15,44,15,62,89,91,56,87,70,147,23
PROD_01370,143,760,398,251,86,119,139,4738,8160,7876,3515,894
PROD_01371,56,253,113,66,52,51,63,1526,2134,1800,956,288
PROD_01372,227,278,107,66,217,186,184,1768,2128,1982,1418,316
PROD_01373,126,460,139,65,129,110,119,2557,2344,2483,1694,398
PROD_01374,30,171,63,38,39,43,43,912,847,846,576,165
PROD_01375,2970,616,158,97,2386,1672,2122,3402,2242,2928,2756,361
PROD_01376,1003,467,144,60,958,861,1211,2637,1532,1745,1968,357
PROD_01377,808,128,107,43,784,664,738,667,897,977,1391,59
PROD_01378,2754,447,279,162,2203,1700,1918,1822,1720,2135,2889,144
PROD_01379,636,229,109,88,612,545,671,727,1240,1342,1167,43
PROD_01380,260,188,128,70,302,299,343,694,868,1278,1246,75
