rn,condition,mean_tpms
PMUR_00211,Conv,1.6570743722763897
PMUR_00211,eSPF,2.0191623849605262
PMUR_00211,invitro,7.556042065313768
PMUR_00219,Conv,354.0377222189392
PMUR_00219,eSPF,343.14019818084677
PMUR_00219,invitro,169.1052781480721
PMUR_00223,Conv,355.8977590397511
PMUR_00223,eSPF,333.65797402401626
PMUR_00223,invitro,151.61797193200383
PMUR_00329,Conv,244.3140990719775
PMUR_00329,eSPF,272.52707466183165
PMUR_00329,invitro,98.50865359742517
PMUR_00333,Conv,262.7316269339457
PMUR_00333,eSPF,308.5342077214386
PMUR_00333,invitro,138.2249754568623
PMUR_01155,Conv,2.3630368545073135
PMUR_01155,eSPF,6.2417490386238095
PMUR_01155,invitro,4.145590252641317
PMUR_01261,Conv,972.3153404891526
PMUR_01261,eSPF,977.5324364527282
PMUR_01261,invitro,564.014906066697
PMUR_01354,Conv,625.3026003229886
PMUR_01354,eSPF,474.3399623639165
PMUR_01354,invitro,234.1009365172374
PMUR_02430,Conv,177.37926148958843
PMUR_02430,eSPF,277.76274807908516
PMUR_02430,invitro,11.770623357051994
PMUR_02434,Conv,143.98420427631004
PMUR_02434,eSPF,250.6016673353607
PMUR_02434,invitro,13.665016944915559
