rn,condition,mean_tpms
PMUR_00220,Conv,356.51129589534037
PMUR_00220,eSPF,344.73191415301324
PMUR_00220,invitro,165.4663111556943
PMUR_00330,Conv,239.90051344341472
PMUR_00330,eSPF,267.9604736468159
PMUR_00330,invitro,88.68746483970888
PMUR_00334,Conv,242.12775302104612
PMUR_00334,eSPF,260.2571182844236
PMUR_00334,invitro,134.68943553052594
PMUR_01154,Conv,1.7942114528856248
PMUR_01154,eSPF,8.975998263020651
PMUR_01154,invitro,3.060325044457069
PMUR_01260,Conv,891.7374056347679
PMUR_01260,eSPF,862.7790013980142
PMUR_01260,invitro,488.03229888639237
PMUR_01355,Conv,559.9610045262733
PMUR_01355,eSPF,441.7304995712644
PMUR_01355,invitro,180.99723029725354
PMUR_01359,Conv,884.4530212320955
PMUR_01359,eSPF,720.0581495664619
PMUR_01359,invitro,342.02695943001373
PMUR_02433,Conv,146.18162225333003
PMUR_02433,eSPF,247.8278526031038
PMUR_02433,invitro,9.712697113681706
