SampleID	Diet	Location	SRA_Study	Sample_Name
SRR4074259	Vegetarian	Bari	SRP083099	01.BA.VG.2
SRR4074260	Vegetarian	Bari	SRP083099	04.BA.VG.2
SRR4074261	Vegetarian	Parma	SRP083099	13.PR.VG.0
SRR4074262	Vegetarian	Parma	SRP083099	14.PR.VG.0
SRR4074263	Vegetarian	Parma	SRP083099	16.PR.VG.1
SRR4074264	Vegan	Bari	SRP083099	19.BA.V.2
SRR4074265	Omnivore	Torino	SRP083099	20.TO.O.0
SRR4074266	Vegan	Bari	SRP083099	23.BA.V.2
SRR4074267	Vegan	Bari	SRP083099	26.BA.V.2
SRR4074268	Vegan	Torino	SRP083099	27.TO.V.2
SRR4074269	Omnivore	Parma	SRP083099	29.PR.O.2
SRR4074278	Omnivore	Bologna	SRP083099	30.BO.O.2
SRR4074287	Vegetarian	Bologna	SRP083099	04.BO.VG.2
SRR4074296	Omnivore	Parma	SRP083099	31.PR.O.0
SRR4074305	Vegan	Parma	SRP083099	32.PR.V.1
SRR4074314	Omnivore	Parma	SRP083099	37.PR.O.0
SRR4074323	Omnivore	Bari	SRP083099	38.BA.O.2
SRR4074332	Omnivore	Parma	SRP083099	38.PR.O.1
SRR4074341	Vegetarian	Torino	SRP083099	42.TO.VG.2
SRR4074350	Vegan	Bologna	SRP083099	45.BO.V.2
SRR4074351	Vegetarian	Parma	SRP083099	05.PR.VG.1
SRR4074352	Vegetarian	Bari	SRP083099	07.BA.VG.2
SRR4074353	Vegan	Parma	SRP083099	07.PR.V.2
SRR4074354	Omnivore	Torino	SRP083099	09.TO.O.0
SRR4074355	Vegan	Torino	SRP083099	10.TO.V.1
SRR4074356	Vegan	Torino	SRP083099	11.TO.V.2
SRR4074357	Vegan	Parma	SRP083099	12.PR.V.2
SRR6367587	Omnivore	Torino	SRP126540	22.TO.O.new
SRR6367588	Omnivore	Parma	SRP126540	37.PR.O.new
SRR6367589	Vegetarian	Torino	SRP126540	04.TO.VG
SRR6367590	Vegetarian	Torino	SRP126540	06.TO.VG
SRR6367591	Vegetarian	Torino	SRP126540	08.TO.VG
SRR6367592	Omnivore	Torino	SRP126540	09.TO.O.new
SRR6367593	Vegetarian	Torino	SRP126540	38.TO.VG
SRR6367594	Vegetarian	Torino	SRP126540	39.TO.VG
SRR6367595	Vegan	Torino	SRP126540	44.TO.V
SRR6367596	Vegan	Bologna	SRP126540	45.BO.V.new
SRR6367597	Omnivore	Torino	SRP126540	12.TO.O.new
SRR6367598	Vegan	Bologna	SRP126540	10.BO.V
SRR6367599	Vegan	Torino	SRP126540	19.TO.V
SRR6367600	Vegan	Torino	SRP126540	21.TO.V.new
SRR8146935	Omnivore	Torino	SRP126540	VOV08_metag
SRR8146936	Omnivore	Torino	SRP126540	VOV104_metag
SRR8146937	Vegetarian	Bari	SRP126540	02.BA.VG_metag
SRR8146938	Omnivore	Torino	SRP126540	VOV03_metag
SRR8146939	Vegetarian	Torino	SRP126540	VOV75_metag
SRR8146940	Vegetarian	Torino	SRP126540	VOV79_metag
SRR8146941	Vegetarian	Torino	SRP126540	VOV66_metag
SRR8146942	Vegetarian	Torino	SRP126540	VOV72_metag
SRR8146943	Vegetarian	Torino	SRP126540	VOV34_metag
SRR8146944	Vegan	Torino	SRP126540	VOV54_metag
SRR8146945	Vegetarian	Torino	SRP126540	VOV49_metag
SRR8146946	Vegetarian	Torino	SRP126540	VOV53_metag
SRR8146947	Vegetarian	Torino	SRP126540	VOV32_metag
SRR8146948	Vegetarian	Torino	SRP126540	VOV96_metag
SRR8146949	Vegetarian	Torino	SRP126540	VOV97_metag
SRR8146950	Vegetarian	Torino	SRP126540	VOV38_metag
SRR8146951	Vegan	Bari	SRP126540	02.BA.V_metag
SRR8146952	Vegan	Bari	SRP126540	01.BA.V_metag
SRR8146953	Vegetarian	Torino	SRP126540	VOV35_metag
SRR8146954	Vegan	Parma	SRP126540	18.PR.V_metag
SRR8146955	Vegan	Parma	SRP126540	26.PR.V_metag
SRR8146956	Omnivore	Bari	SRP126540	03.BA.O_metag
