genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
PROD	PUL1	PROD_01882	gnl|HZI|PROD_13	76530	79769	+	0	PROD_01882	susC		
PROD	PUL1	PROD_01883	gnl|HZI|PROD_13	79831	81435	+	62	PROD_01883	susD		
PROD	PUL1	PROD_01884	gnl|HZI|PROD_13	81466	83328	+	31	PROD_01884			
PROD	PUL1	PROD_01885	gnl|HZI|PROD_13	83497	84318	+	169	PROD_01885			
PROD	PUL1	PROD_01886	gnl|HZI|PROD_13	84625	87027	+	307	PROD_01886		GH35	
PROD	PUL2	PROD_02112	gnl|HZI|PROD_16	24466	28125	+	-62561	PROD_02112		GH128	
PROD	PUL2	PROD_02113	gnl|HZI|PROD_16	28133	28549	-	8	PROD_02113			
PROD	PUL2	PROD_02114	gnl|HZI|PROD_16	28912	29127	+	363	PROD_02114			
PROD	PUL2	PROD_02115	gnl|HZI|PROD_16	29575	33105	+	448	PROD_02115			
PROD	PUL2	PROD_02116	gnl|HZI|PROD_16	33246	37538	+	141	PROD_02116		GH43_19;GH51	
PROD	PUL2	PROD_02117	gnl|HZI|PROD_16	37568	40240	+	30	PROD_02117			
PROD	PUL2	PROD_02118	gnl|HZI|PROD_16	40250	43618	+	10	PROD_02118	susC		
PROD	PUL2	PROD_02119	gnl|HZI|PROD_16	43651	45474	+	33	PROD_02119	susD		
PROD	PUL2	PROD_02120	gnl|HZI|PROD_16	45524	47614	+	50	PROD_02120			
PROD	PUL2	PROD_02121	gnl|HZI|PROD_16	47750	49564	+	136	PROD_02121			
PROD	PUL2	PROD_02122	gnl|HZI|PROD_16	49600	52842	+	36	PROD_02122	susC		
PROD	PUL3	PROD_02216	gnl|HZI|PROD_17	62762	66001	+	9920	PROD_02216	susC		
PROD	PUL3	PROD_02217	gnl|HZI|PROD_17	66033	67553	+	32	PROD_02217	susD		
PROD	PUL3	PROD_02218	gnl|HZI|PROD_17	67578	69527	+	25	PROD_02218			
PROD	PUL3	PROD_02219	gnl|HZI|PROD_17	69658	70800	+	131	PROD_02219		GH16	
PROD	PUL3	PROD_02220	gnl|HZI|PROD_17	70825	71301	+	25	PROD_02220			
PROD	PUL3	PROD_02221	gnl|HZI|PROD_17	71298	71483	+	-3	PROD_02221			
PROD	PUL3	PROD_02222	gnl|HZI|PROD_17	71647	72888	+	164	PROD_02222		GH5_46	
PROD	PUL3	PROD_02223	gnl|HZI|PROD_17	72894	75131	+	6	PROD_02223		GH3	
PROD	PUL3	PROD_02224	gnl|HZI|PROD_17	75324	77621	+	193	PROD_02224		GH3	
PROD	PUL4	PROD_00473	gnl|HZI|PROD_2	129359	132595	+	51738	PROD_00473	susC		
PROD	PUL4	PROD_00474	gnl|HZI|PROD_2	132617	134548	+	22	PROD_00474	susD		
PROD	PUL4	PROD_00475	gnl|HZI|PROD_2	134567	136165	+	19	PROD_00475			
PROD	PUL4	PROD_00476	gnl|HZI|PROD_2	136457	138547	+	292	PROD_00476		PL1_2	
PROD	PUL4	PROD_00477	gnl|HZI|PROD_2	138695	141277	+	148	PROD_00477		GH3	
PROD	PUL4	PROD_00478	gnl|HZI|PROD_2	141491	145579	-	214	PROD_00478			
PROD	PUL4	PROD_00479	gnl|HZI|PROD_2	145763	145999	-	184	PROD_00479			
PROD	PUL4	PROD_00480	gnl|HZI|PROD_2	146029	147432	-	30	PROD_00480		GH57	
PROD	PUL4	PROD_00481	gnl|HZI|PROD_2	147507	148775	-	75	PROD_00481		GT4	
PROD	PUL4	PROD_00482	gnl|HZI|PROD_2	148791	150710	-	16	PROD_00482		GH133	
PROD	PUL5	PROD_02439	gnl|HZI|PROD_21	12378	13796	-	-138332	PROD_02439		CE10	
PROD	PUL5	PROD_02440	gnl|HZI|PROD_21	13905	15956	-	109	PROD_02440			
PROD	PUL5	PROD_02441	gnl|HZI|PROD_21	15972	19244	-	16	PROD_02441	susC		
PROD	PUL5	PROD_02442	gnl|HZI|PROD_21	19247	20962	-	3	PROD_02442			
PROD	PUL5	PROD_02443	gnl|HZI|PROD_21	21020	23152	-	58	PROD_02443			
PROD	PUL5	PROD_02444	gnl|HZI|PROD_21	23168	24946	-	16	PROD_02444	susD		
PROD	PUL5	PROD_02445	gnl|HZI|PROD_21	24946	28338	-	0	PROD_02445	susC		
PROD	PUL5	PROD_02446	gnl|HZI|PROD_21	28351	31269	-	13	PROD_02446			
PROD	PUL5	PROD_02447	gnl|HZI|PROD_21	31556	32173	-	287	PROD_02447			
PROD	PUL5	PROD_02448	gnl|HZI|PROD_21	32260	34875	-	87	PROD_02448			
PROD	PUL5	PROD_02449	gnl|HZI|PROD_21	34872	34973	-	-3	PROD_02449			
PROD	PUL5	PROD_02450	gnl|HZI|PROD_21	35098	39615	-	125	PROD_02450		PL11	
PROD	PUL5	PROD_02451	gnl|HZI|PROD_21	40098	42743	+	483	PROD_02451		GH3	
PROD	PUL5	PROD_02452	gnl|HZI|PROD_21	42770	44686	+	27	PROD_02452		GH43_2	
PROD	PUL5	PROD_02453	gnl|HZI|PROD_21	44771	46213	+	85	PROD_02453		GH43_7	
PROD	PUL5	PROD_02454	gnl|HZI|PROD_21	46495	49107	+	282	PROD_02454		PL11	
PROD	PUL5	PROD_02455	gnl|HZI|PROD_21	49066	49221	-	-41	PROD_02455			
PROD	PUL5	PROD_02456	gnl|HZI|PROD_21	49327	52329	+	106	PROD_02456		GH2	
PROD	PUL6	PROD_02830	gnl|HZI|PROD_35	5884	9204	+	-46445	PROD_02830	susC		
