genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
PINT	PUL1	PINT_02791	gnl|HZI|PINT_11	114649	116781	-	0	PINT_02791	susD		
PINT	PUL1	PINT_02792	gnl|HZI|PINT_11	116816	120028	-	35	PINT_02792	susC		
PINT	PUL1	PINT_02793	gnl|HZI|PINT_11	120390	122558	-	362	PINT_02793		PL11	
PINT	PUL2	PINT_00866	gnl|HZI|PINT_2	382236	383972	-	259678	PINT_00866	susD		
PINT	PUL2	PINT_00867	gnl|HZI|PINT_2	383995	387093	-	23	PINT_00867	susC		
PINT	PUL3	PINT_01043	gnl|HZI|PINT_3	57149	60184	+	-329944	PINT_01043	susC		
PINT	PUL3	PINT_01044	gnl|HZI|PINT_3	60201	62003	+	17	PINT_01044	susD		
PINT	PUL4	PINT_01251	gnl|HZI|PINT_3	289913	292444	-	227910	PINT_01251	susC		
PINT	PUL4	PINT_01252	gnl|HZI|PINT_3	292705	292917	-	261	PINT_01252			
PINT	PUL4	PINT_01253	gnl|HZI|PINT_3	292991	294673	+	74	PINT_01253			
PINT	PUL4	PINT_01254	gnl|HZI|PINT_3	295098	295250	-	425	PINT_01254			
PINT	PUL4	PINT_01255	gnl|HZI|PINT_3	295448	298702	+	198	PINT_01255	susC		
PINT	PUL4	PINT_01256	gnl|HZI|PINT_3	298739	300232	+	37	PINT_01256	susD		
PINT	PUL4	PINT_01257	gnl|HZI|PINT_3	300269	301714	+	37	PINT_01257			
PINT	PUL4	PINT_01258	gnl|HZI|PINT_3	301851	303203	+	137	PINT_01258		GH16	
PINT	PUL4	PINT_01259	gnl|HZI|PINT_3	303435	304559	+	232	PINT_01259		GH5_46	
PINT	PUL4	PINT_01260	gnl|HZI|PINT_3	304962	307190	+	403	PINT_01260		GH3	
PINT	PUL4	PINT_01261	gnl|HZI|PINT_3	307266	309506	+	76	PINT_01261		GH3	
PINT	PUL5	PINT_01265	gnl|HZI|PINT_3	315037	318144	+	5531	PINT_01265	susC		
PINT	PUL5	PINT_01266	gnl|HZI|PINT_3	318163	319815	+	19	PINT_01266	susD		
PINT	PUL5	PINT_01267	gnl|HZI|PINT_3	320015	320569	+	200	PINT_01267			
PINT	PUL5	PINT_01268	gnl|HZI|PINT_3	320688	323003	+	119	PINT_01268		GH88	
PINT	PUL5	PINT_01269	gnl|HZI|PINT_3	323020	324762	+	17	PINT_01269		GH18	
PINT	PUL5	PINT_01270	gnl|HZI|PINT_3	324794	327406	+	32	PINT_01270		GH2;CBM57	
PINT	PUL6	PINT_01426	gnl|HZI|PINT_4	10910	12961	-	-316496	PINT_01426	susD		
PINT	PUL6	PINT_01427	gnl|HZI|PINT_4	12984	16172	-	23	PINT_01427	susC		
PINT	PUL6	PINT_01428	gnl|HZI|PINT_4	16334	16507	+	162	PINT_01428			
PINT	PUL6	PINT_01429	gnl|HZI|PINT_4	16511	19195	-	4	PINT_01429		PL1_2	
PINT	PUL7	PINT_01461	gnl|HZI|PINT_4	60403	62406	+	41208	PINT_01461	susC		
PINT	PUL7	PINT_01462	gnl|HZI|PINT_4	62519	63769	+	113	PINT_01462			
PINT	PUL7	PINT_01463	gnl|HZI|PINT_4	63975	66887	+	206	PINT_01463			
PINT	PUL7	PINT_01464	gnl|HZI|PINT_4	67061	68833	-	174	PINT_01464	susD		
PINT	PUL7	PINT_01465	gnl|HZI|PINT_4	68875	71931	-	42	PINT_01465	susC		
