rn	tip_id	Genome_MAG	TipLabels
BACOVA_03426_XylL_SusC1	BACOVA_03426_XylL_SusC1	BACOVA_Xul	BACOVA_03426_XylL_SusC1
BACOVA_03428_XylL_SusC2	BACOVA_03428_XylL_SusC2	BACOVA_Xul	BACOVA_03428_XylL_SusC2
BACOVA_04393_XylS_SusC1	BACOVA_04393_XylS_SusC1	BACOVA_Xul	BACOVA_04393_XylS_SusC1
MAG609_00226	MAG609_00226	MAG609	
MAG609_00349	MAG609_00349	MAG609	
MAG609_00419	MAG609_00419	MAG609	
MAG609_00514	MAG609_00514	MAG609	
MAG609_00635	MAG609_00635	MAG609	
MAG609_00939	MAG609_00939	MAG609	
MAG609_01012	MAG609_01012	MAG609	
MAG609_01017	MAG609_01017	MAG609	
MAG609_01224	MAG609_01224	MAG609	
MAG609_01226	MAG609_01226	MAG609	
MAG609_01284	MAG609_01284	MAG609	
MAG609_01297	MAG609_01297	MAG609	
MAG609_01299	MAG609_01299	MAG609	
MAG609_01317	MAG609_01317	MAG609	
MAG609_01324	MAG609_01324	MAG609	
MAG609_01336	MAG609_01336	MAG609	
MAG609_01583	MAG609_01583	MAG609	
MAG609_01822	MAG609_01822	MAG609	
MAG609_01858	MAG609_01858	MAG609	
MAG609_01985	MAG609_01985	MAG609	
MAG609_02114	MAG609_02114	MAG609	
MAG609_02261	MAG609_02261	MAG609	
MAG609_02293	MAG609_02293	MAG609	
MAG609_02310	MAG609_02310	MAG609	
MAG609_02478	MAG609_02478	MAG609	
MAG610_00018	MAG610_00018	P. copri MAG	
MAG610_00126	MAG610_00126	P. copri MAG	
MAG610_00291	MAG610_00291	P. copri MAG	
MAG610_00568	MAG610_00568	P. copri MAG	
MAG610_00670	MAG610_00670	P. copri MAG	
MAG610_00804	MAG610_00804	P. copri MAG	
MAG610_00908	MAG610_00908	P. copri MAG	
MAG610_00912	MAG610_00912	P. copri MAG	
MAG610_00951	MAG610_00951	P. copri MAG	
MAG610_00953	MAG610_00953	P. copri MAG	
MAG610_01049	MAG610_01049	P. copri MAG	
MAG610_01057	MAG610_01057	P. copri MAG	
MAG610_01127	MAG610_01127	P. copri MAG	
MAG610_01273	MAG610_01273	P. copri MAG	
MAG610_01820	MAG610_01820	P. copri MAG	
MAG610_02070	MAG610_02070	P. copri MAG	
MAG610_02188	MAG610_02188	P. copri MAG	
MAG610_02190	MAG610_02190	P. copri MAG	
MAG610_02305	MAG610_02305	P. copri MAG	
MAG610_02322	MAG610_02322	P. copri MAG	
MAG610_02425	MAG610_02425	P. copri MAG	
MAG610_02517	MAG610_02517	P. copri MAG	
MAG610_02759	MAG610_02759	P. copri MAG	
MAG611_00011	MAG611_00011	P. copri MAG	
MAG611_00331	MAG611_00331	P. copri MAG	
MAG611_00627	MAG611_00627	P. copri MAG	
MAG611_00629	MAG611_00629	P. copri MAG	
MAG611_00687	MAG611_00687	P. copri MAG	
MAG611_01001	MAG611_01001	P. copri MAG	
MAG611_01003	MAG611_01003	P. copri MAG	
MAG611_01079	MAG611_01079	P. copri MAG	
MAG611_01201	MAG611_01201	P. copri MAG	
MAG611_01223	MAG611_01223	P. copri MAG	
MAG611_01470	MAG611_01470	P. copri MAG	
MAG611_01568	MAG611_01568	P. copri MAG	
MAG611_01610	MAG611_01610	P. copri MAG	
MAG611_01636	MAG611_01636	P. copri MAG	
MAG611_01654	MAG611_01654	P. copri MAG	
MAG611_01680	MAG611_01680	P. copri MAG	
MAG611_02055	MAG611_02055	P. copri MAG	
MAG611_02086	MAG611_02086	P. copri MAG	
MAG612_00137	MAG612_00137	P. copri MAG	
MAG612_00142	MAG612_00142	P. copri MAG	
MAG612_00412	MAG612_00412	P. copri MAG	
MAG612_00417	MAG612_00417	P. copri MAG	
MAG612_00423	MAG612_00423	P. copri MAG	
MAG612_00680	MAG612_00680	P. copri MAG	
MAG612_00690	MAG612_00690	P. copri MAG	
MAG612_00857	MAG612_00857	P. copri MAG	
MAG612_00858	MAG612_00858	P. copri MAG	
MAG612_00863	MAG612_00863	P. copri MAG	
MAG612_01067	MAG612_01067	P. copri MAG	
MAG612_01324	MAG612_01324	P. copri MAG	
MAG612_01344	MAG612_01344	P. copri MAG	
MAG612_01700	MAG612_01700	P. copri MAG	
MAG612_01852	MAG612_01852	P. copri MAG	
MAG612_01926	MAG612_01926	P. copri MAG	
MAG612_01975	MAG612_01975	P. copri MAG	
MAG612_02015	MAG612_02015	P. copri MAG	
MAG612_02035	MAG612_02035	P. copri MAG	
MAG612_02071	MAG612_02071	P. copri MAG	
MAG612_02391	MAG612_02391	P. copri MAG	
MAG612_02392	MAG612_02392	P. copri MAG	
MAG612_02501	MAG612_02501	P. copri MAG	
MAG612_02525	MAG612_02525	P. copri MAG	
MAG612_02561	MAG612_02561	P. copri MAG	
MAG613_00407	MAG613_00407	P. copri MAG	
MAG613_00413	MAG613_00413	P. copri MAG	
MAG613_00415	MAG613_00415	P. copri MAG	
MAG613_00458	MAG613_00458	P. copri MAG	
MAG613_00480	MAG613_00480	P. copri MAG	
MAG613_00810	MAG613_00810	P. copri MAG	
MAG613_00843	MAG613_00843	P. copri MAG	
MAG613_00864	MAG613_00864	P. copri MAG	
MAG613_00880	MAG613_00880	P. copri MAG	
MAG613_00895	MAG613_00895	P. copri MAG	
MAG613_00902	MAG613_00902	P. copri MAG	
MAG613_01030	MAG613_01030	P. copri MAG	
MAG613_01176	MAG613_01176	P. copri MAG	
MAG613_01482	MAG613_01482	P. copri MAG	
MAG613_01615	MAG613_01615	P. copri MAG	
MAG613_01915	MAG613_01915	P. copri MAG	
MAG613_02000	MAG613_02000	P. copri MAG	
MAG613_02012	MAG613_02012	P. copri MAG	
MAG613_02156	MAG613_02156	P. copri MAG	
MAG613_02293	MAG613_02293	P. copri MAG	
PINT_00867	PINT_00867	PINT	
PINT_01043	PINT_01043	PINT	
