locus_tag	ftype	length_bp	gene	EC_number	COG	product
PMUR_00001	CDS	2205				hypothetical protein
PMUR_00002	CDS	6204				hypothetical protein
PMUR_00003	CDS	2796				hypothetical protein
PMUR_00004	CDS	1980	resA_1			Thiol-disulfide oxidoreductase ResA
PMUR_00005	CDS	837				hypothetical protein
PMUR_00006	CDS	492				hypothetical protein
PMUR_00007	CDS	1233				hypothetical protein
PMUR_00008	CDS	1497				hypothetical protein
PMUR_00009	CDS	2115	dpp7	3.4.14.-		Dipeptidyl-peptidase 7
PMUR_00010	CDS	1917				hypothetical protein
PMUR_00011	CDS	1992	deaD_1	3.6.4.13		ATP-dependent RNA helicase DeaD
PMUR_00012	CDS	417				hypothetical protein
PMUR_00013	CDS	1275		6.2.1.30	COG1541	Phenylacetate-coenzyme A ligase
PMUR_00014	CDS	111				hypothetical protein
PMUR_00015	CDS	537	yvdD		COG1611	LOG family protein YvdD
PMUR_00016	CDS	3720				hypothetical protein
PMUR_00017	CDS	822				hypothetical protein
PMUR_00018	CDS	1086	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
PMUR_00019	CDS	843				hypothetical protein
PMUR_00020	CDS	1155	mshA_2	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
PMUR_00021	CDS	1167				hypothetical protein
PMUR_00022	CDS	1266	dapH_1	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
PMUR_00023	CDS	1356				hypothetical protein
PMUR_00024	CDS	1065				hypothetical protein
PMUR_00025	CDS	1188	norV		COG0426	Anaerobic nitric oxide reductase flavorubredoxin
PMUR_00026	CDS	948	scrK	2.7.1.4	COG0524	Fructokinase
PMUR_00027	CDS	1230		3.4.24.-	COG0612	putative zinc protease
PMUR_00028	CDS	1593				hypothetical protein
PMUR_00029	CDS	1965	gyrB_1	5.99.1.3	COG0187	Type 2 topoisomerase subunit B
PMUR_00030	CDS	1146				hypothetical protein
PMUR_00031	CDS	1254				hypothetical protein
PMUR_00032	CDS	693	ddpX	3.4.13.22	COG2173	D-alanyl-D-alanine dipeptidase
PMUR_00033	CDS	1641				hypothetical protein
PMUR_00034	CDS	1155				hypothetical protein
PMUR_00035	CDS	204				hypothetical protein
PMUR_00036	CDS	1311	zraR_1		COG2204	Transcriptional regulatory protein ZraR
PMUR_00037	CDS	2493	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
PMUR_00038	CDS	909				hypothetical protein
PMUR_00039	CDS	756	frdB	1.3.5.1	COG0479	Fumarate reductase iron-sulfur subunit
PMUR_00040	CDS	1983	frdA	1.3.5.4		Fumarate reductase flavoprotein subunit
PMUR_00041	CDS	687				hypothetical protein
PMUR_00042	CDS	126				hypothetical protein
PMUR_00043	CDS	1872	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
PMUR_00044	CDS	531	apt	2.4.2.7	COG0503	Adenine phosphoribosyltransferase
PMUR_00045	CDS	1836	uvrC		COG0322	UvrABC system protein C
PMUR_00046	CDS	453	dtd	3.1.1.96	COG1490	D-aminoacyl-tRNA deacylase
PMUR_00047	CDS	333	ypjD		COG1694	putative protein YpjD
PMUR_00048	CDS	936	deoC	4.1.2.4		Deoxyribose-phosphate aldolase
PMUR_00049	CDS	978	ispB	2.5.1.90	COG0142	Octaprenyl diphosphate synthase
PMUR_00050	CDS	2769	polA	2.7.7.7	COG0258	DNA polymerase I
PMUR_00051	CDS	1185				hypothetical protein
PMUR_00052	CDS	3102	czcA			Cobalt-zinc-cadmium resistance protein CzcA
PMUR_00053	CDS	1167	mdtA_1			Multidrug resistance protein MdtA
PMUR_00054	CDS	1251				hypothetical protein
PMUR_00055	CDS	2319	rgpB	3.4.22.37		Gingipain R2
PMUR_00056	CDS	1518				hypothetical protein
PMUR_00057	CDS	762				hypothetical protein
PMUR_00058	CDS	132				hypothetical protein
PMUR_00059	CDS	1104	ychF		COG0012	Ribosome-binding ATPase YchF
PMUR_00060	CDS	825	lgt	2.4.99.-	COG0682	Prolipoprotein diacylglyceryl transferase
PMUR_00061	CDS	1989				hypothetical protein
PMUR_00062	CDS	2667	mutS_1		COG0249	DNA mismatch repair protein MutS
PMUR_00063	CDS	1152				hypothetical protein
PMUR_00064	CDS	588	rimP			Ribosome maturation factor RimP
PMUR_00065	CDS	1266	nusA		COG0195	Transcription termination/antitermination protein NusA
PMUR_00066	CDS	2928	lepA_1			Elongation factor 4
PMUR_00067	CDS	1605	sufB		COG0719	FeS cluster assembly protein SufB
PMUR_00068	CDS	753	sufC		COG0396	putative ATP-dependent transporter SufC
