tip_id	Genome_MAG	TipLabels
BACOVA_03427_XylL_SusD1	BACOVA_Xul	BACOVA_03427
BACOVA_03429_XylL_SusD2	BACOVA_Xul	BACOVA_03429
BACOVA_04392_XylS_SusD	BACOVA_Xul	BACOVA_04392
MAG609_00227	MAG609	
MAG609_00350	MAG609	
MAG609_00420	MAG609	
MAG609_00513	MAG609	
MAG609_00636	MAG609	
MAG609_00940	MAG609	
MAG609_01013	MAG609	
MAG609_01225	MAG609	MAG609_01225
MAG609_01227	MAG609	MAG609_01227
MAG609_01283	MAG609	
MAG609_01298	MAG609	
MAG609_01300	MAG609	
MAG609_01318	MAG609	
MAG609_01325	MAG609	
MAG609_01335	MAG609	
MAG609_01582	MAG609	
MAG609_01823	MAG609	
MAG609_01859	MAG609	
MAG609_01986	MAG609	
MAG609_02113	MAG609	
MAG609_02262	MAG609	
MAG609_02292	MAG609	
MAG609_02311	MAG609	
MAG609_02479	MAG609	
MAG610_00019	P. copri MAG	
MAG610_00125	P. copri MAG	
MAG610_00290	P. copri MAG	
MAG610_00569	P. copri MAG	
MAG610_00669	P. copri MAG	
MAG610_00805	P. copri MAG	
MAG610_00907	P. copri MAG	
MAG610_00911	P. copri MAG	
MAG610_00954	P. copri MAG	
MAG610_01048	P. copri MAG	
MAG610_01058	P. copri MAG	
MAG610_01128	P. copri MAG	
MAG610_01272	P. copri MAG	
MAG610_01819	P. copri MAG	
MAG610_02071	P. copri MAG	
MAG610_02187	P. copri MAG	
MAG610_02189	P. copri MAG	
MAG610_02306	P. copri MAG	
MAG610_02321	P. copri MAG	
MAG610_02424	P. copri MAG	
MAG610_02518	P. copri MAG	
MAG610_02758	P. copri MAG	
MAG611_00012	P. copri MAG	
MAG611_00332	P. copri MAG	
MAG611_00626	P. copri MAG	
MAG611_00628	P. copri MAG	
MAG611_00688	P. copri MAG	
MAG611_01002	P. copri MAG	
MAG611_01004	P. copri MAG	
MAG611_01080	P. copri MAG	MAG611_01080
MAG611_01202	P. copri MAG	
MAG611_01224	P. copri MAG	
MAG611_01469	P. copri MAG	MAG611_01469
MAG611_01567	P. copri MAG	
MAG611_01609	P. copri MAG	
MAG611_01635	P. copri MAG	
MAG611_01653	P. copri MAG	
MAG611_01681	P. copri MAG	
MAG611_02056	P. copri MAG	
MAG611_02087	P. copri MAG	
MAG612_00136	P. copri MAG	
MAG612_00141	P. copri MAG	
MAG612_00411	P. copri MAG	
MAG612_00418	P. copri MAG	
MAG612_00422	P. copri MAG	MAG612_00422
MAG612_00679	P. copri MAG	
MAG612_00687	P. copri MAG	MAG612_00687
MAG612_00689	P. copri MAG	MAG612_00689
MAG612_00859	P. copri MAG	
MAG612_00864	P. copri MAG	
MAG612_01068	P. copri MAG	
MAG612_01323	P. copri MAG	
MAG612_01345	P. copri MAG	
MAG612_01699	P. copri MAG	
MAG612_01851	P. copri MAG	
MAG612_01925	P. copri MAG	
MAG612_01976	P. copri MAG	
MAG612_02014	P. copri MAG	
MAG612_02034	P. copri MAG	
MAG612_02070	P. copri MAG	
MAG612_02390	P. copri MAG	
MAG612_02502	P. copri MAG	
MAG612_02526	P. copri MAG	
MAG612_02562	P. copri MAG	
MAG613_00408	P. copri MAG	
MAG613_00416	P. copri MAG	
MAG613_00457	P. copri MAG	
MAG613_00481	P. copri MAG	
MAG613_00809	P. copri MAG	
MAG613_00842	P. copri MAG	
MAG613_00865	P. copri MAG	
MAG613_00881	P. copri MAG	
MAG613_00896	P. copri MAG	
MAG613_00903	P. copri MAG	
MAG613_01029	P. copri MAG	
MAG613_01175	P. copri MAG	
MAG613_01481	P. copri MAG	
MAG613_01614	P. copri MAG	
MAG613_01914	P. copri MAG	
MAG613_02001	P. copri MAG	
MAG613_02013	P. copri MAG	
MAG613_02157	P. copri MAG	
MAG613_02292	P. copri MAG	
PINT_00866	P. copri MAG	
PINT_01044	P. copri MAG	
PINT_01256	P. copri MAG	
PINT_01266	PINT	
PINT_01426	PINT	
PINT_01464	PINT	
PINT_01543	PINT	
PINT_01545	PINT	
PINT_01684	PINT	
PINT_01766	PINT	
PINT_01778	PINT	
PINT_01816	PINT	PINT_01816
PINT_01818	PINT	PINT_01818
PINT_01927	PINT	
PINT_01931	PINT	
PINT_01936	PINT	
PINT_02084	PINT	
PINT_02086	PINT	
PINT_02092	PINT	
PINT_02109	PINT	
PINT_02499	PINT	
PINT_02791	PINT	
PMUR_00220	Mouse Prevotella	
PMUR_00330	Mouse Prevotella	
PMUR_00334	Mouse Prevotella	
PMUR_01154	Mouse Prevotella	
PMUR_01260	Mouse Prevotella	
PMUR_01355	Mouse Prevotella	
PMUR_01359	Mouse Prevotella	
PMUR_02433	Mouse Prevotella	
PROD_00474	Mouse Prevotella	
PROD_00838	Mouse Prevotella	
PROD_00842	Mouse Prevotella	
PROD_01145	Mouse Prevotella	
PROD_01371	Mouse Prevotella	
PROD_01883	Mouse Prevotella	
PROD_02119	Mouse Prevotella	
PROD_02217	Mouse Prevotella	
PROD_02444	Mouse Prevotella	
PROD_02831	Mouse Prevotella
