genome	pulid	contigid	start	end	pattern
MAG621	PUL1	gnl|HZI|MAG621_13	5488	23418	GH43_19-unk-unk-susC-susD-GH30_4-GH30_4-GH35
MAG621	PUL2	gnl|HZI|MAG621_13	35440	47723	GH3-GH16-unk-susD-susC-GH3
MAG621	PUL3	gnl|HZI|MAG621_14	17087	27635	susC-susD-unk-unk-unk-GH63
MAG621	PUL4	gnl|HZI|MAG621_17	3964	8504	susC-susD
MAG621	PUL5	gnl|HZI|MAG621_17	31926	45101	GH85-GH85-susC-susD
MAG621	PUL6	gnl|HZI|MAG621_26	18124	23300	susD-susC
MAG621	PUL7	gnl|HZI|MAG621_3	23024	27867	susD-susC
MAG621	PUL8	gnl|HZI|MAG621_32	15812	28916	susC-susD-unk-GH43_4-GH43_5-GH51
MAG621	PUL9	gnl|HZI|MAG621_39	10247	15050	susC-susD
MAG621	PUL10	gnl|HZI|MAG621_47	9318	19458	susC-susD-unk-GH57-GT4-GH133
MAG621	PUL11	gnl|HZI|MAG621_56	634	16922	susD-susC-unk-unk-GH77-GH97-GH13_13-GH13
MAG621	PUL12	gnl|HZI|MAG621_67	4079	14967	GH2-GH53-GH53-unk-susD-susC
MAG621	PUL13	gnl|HZI|MAG621_92	310	7470	susD-susC-unk-GH29
