locus_tag	ftype	length_bp	gene	EC_number	COG	product
PROD_00001	tRNA	74				tRNA-Lys(ctt)
PROD_00002	CDS	789	yfiC	2.1.1.223	COG4123	tRNA1(Val) (adenine(37)-N6)-methyltransferase
PROD_00003	CDS	753	kdsB	2.7.7.90	COG1212	8-amino-3,8-dideoxy-manno-octulosonate cytidylyltransferase
PROD_00004	CDS	1128				hypothetical protein
PROD_00005	CDS	447	tabA		COG2731	Toxin-antitoxin biofilm protein TabA
PROD_00006	CDS	2091	glgB_1	2.4.1.18	COG0296	1,4-alpha-glucan branching enzyme GlgB
PROD_00007	CDS	1155				hypothetical protein
PROD_00008	CDS	492				hypothetical protein
PROD_00009	CDS	1488	btuD_1	3.6.3.33		Vitamin B12 import ATP-binding protein BtuD
PROD_00010	CDS	561	ruvC	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
PROD_00011	CDS	1782	lepA_1	3.6.5.-		Elongation factor 4
PROD_00012	CDS	603				hypothetical protein
PROD_00013	CDS	1662		6.2.1.3	COG1022	Long-chain-fatty-acid--CoA ligase FadD15
PROD_00014	CDS	1668		6.2.1.3	COG1022	Long-chain-fatty-acid--CoA ligase FadD15
PROD_00015	CDS	1248	lolE_1		COG4591	Lipoprotein-releasing system transmembrane protein LolE
PROD_00016	CDS	1215	aspC	2.6.1.1	COG0436	Aspartate aminotransferase
PROD_00017	CDS	1239				hypothetical protein
PROD_00018	CDS	480				hypothetical protein
PROD_00019	CDS	684			COG0325	Pyridoxal phosphate homeostasis protein
PROD_00020	CDS	1686	aspT			Aspartate/alanine antiporter
PROD_00021	CDS	975				hypothetical protein
PROD_00022	CDS	471	gcdC	4.1.1.70	COG0511	Glutaconyl-CoA decarboxylase subunit gamma
PROD_00023	CDS	1158	gcdB	4.1.1.70	COG1883	Glutaconyl-CoA decarboxylase subunit beta
PROD_00024	CDS	501				hypothetical protein
PROD_00025	CDS	690	dnaJ_1			Chaperone protein DnaJ
PROD_00026	CDS	3564	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
PROD_00027	CDS	381	dksA			RNA polymerase-binding transcription factor DksA
PROD_00028	CDS	684	lspA	3.4.23.36		Lipoprotein signal peptidase
PROD_00029	CDS	984				hypothetical protein
PROD_00030	CDS	234				hypothetical protein
PROD_00031	CDS	1248	xapB			Xanthosine permease
PROD_00032	CDS	549				hypothetical protein
PROD_00033	CDS	717	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
PROD_00034	CDS	654				hypothetical protein
PROD_00035	CDS	651		3.-.-.-		putative protein
PROD_00036	CDS	627	rsmG	2.1.1.-		Ribosomal RNA small subunit methyltransferase G
PROD_00037	CDS	657	yvdM	5.4.2.6	COG0637	Beta-phosphoglucomutase
PROD_00038	CDS	822	panB	2.1.2.11	COG0413	3-methyl-2-oxobutanoate hydroxymethyltransferase
PROD_00039	CDS	273				hypothetical protein
PROD_00040	CDS	2028				hypothetical protein
PROD_00041	CDS	873	sigA_1		COG0568	RNA polymerase sigma factor SigA
PROD_00042	CDS	186				hypothetical protein
PROD_00043	CDS	633				hypothetical protein
PROD_00044	CDS	1245				hypothetical protein
PROD_00045	CDS	2622				hypothetical protein
PROD_00046	CDS	1653		3.2.1.55	COG3507	Non-reducing end alpha-L-arabinofuranosidase BoGH43B
PROD_00047	CDS	1071				hypothetical protein
PROD_00048	CDS	1188				hypothetical protein
PROD_00049	CDS	3552	por	1.2.7.1	COG0674	Pyruvate synthase
PROD_00050	CDS	114				hypothetical protein
PROD_00051	CDS	1620				hypothetical protein
PROD_00052	CDS	849	nadC	2.4.2.19	COG0157	Nicotinate-nucleotide pyrophosphorylase [carboxylating]
PROD_00053	CDS	483				hypothetical protein
PROD_00054	CDS	1473				hypothetical protein
PROD_00055	CDS	1707				hypothetical protein
PROD_00056	CDS	390				hypothetical protein
PROD_00057	CDS	732			COG0217	putative transcriptional regulatory protein
PROD_00058	CDS	2463	pheT	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
PROD_00059	CDS	1572				hypothetical protein
PROD_00060	CDS	2640	valS	6.1.1.9	COG0525	Valine--tRNA ligase
PROD_00061	CDS	984				hypothetical protein
PROD_00062	CDS	1491				hypothetical protein
PROD_00063	CDS	927				hypothetical protein
PROD_00064	CDS	993				hypothetical protein
PROD_00065	CDS	1104				hypothetical protein
PROD_00066	CDS	525	rpsP			30S ribosomal protein S16
PROD_00067	CDS	669				hypothetical protein
PROD_00068	CDS	906				hypothetical protein
PROD_00069	CDS	318	rhaM	5.1.3.32		L-rhamnose mutarotase
PROD_00070	CDS	912				hypothetical protein
PROD_00071	CDS	480	cdd	3.5.4.5	COG0295	Cytidine deaminase
PROD_00072	CDS	1482				hypothetical protein
PROD_00073	CDS	564	rbr3A	1.11.1.1	COG1592	Reverse rubrerythrin-1
PROD_00074	CDS	981				hypothetical protein
PROD_00075	CDS	1359	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
PROD_00076	CDS	1275	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
PROD_00077	CDS	504				hypothetical protein
PROD_00078	CDS	612				hypothetical protein
PROD_00079	CDS	1956				hypothetical protein
PROD_00080	CDS	477				hypothetical protein
PROD_00081	CDS	132				hypothetical protein
PROD_00082	CDS	360				hypothetical protein
PROD_00083	CDS	2004	ligA	6.5.1.2		DNA ligase
PROD_00084	CDS	135				hypothetical protein
PROD_00085	CDS	357	rplU		COG0261	50S ribosomal protein L21
PROD_00086	CDS	264	rpmA		COG0211	50S ribosomal protein L27
PROD_00087	CDS	138				hypothetical protein
PROD_00088	CDS	1290	serS	6.1.1.11	COG0172	Serine--tRNA ligase
PROD_00089	CDS	2397	pyrK_1			Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit
PROD_00090	CDS	369				hypothetical protein
PROD_00091	CDS	732	ttcA	2.8.1.-	COG0037	tRNA-cytidine(32) 2-sulfurtransferase
PROD_00092	CDS	1164				hypothetical protein
PROD_00093	CDS	873	deoD	2.4.2.1		Purine nucleoside phosphorylase DeoD-type
PROD_00094	CDS	1521	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
PROD_00095	CDS	903				hypothetical protein
PROD_00096	CDS	1107	xerD_1			Tyrosine recombinase XerD
PROD_00097	CDS	363				hypothetical protein
PROD_00098	CDS	888				hypothetical protein
PROD_00099	CDS	504				hypothetical protein
PROD_00100	CDS	369				hypothetical protein
PROD_00101	CDS	1377				hypothetical protein
PROD_00102	CDS	1080				hypothetical protein
PROD_00103	CDS	309				hypothetical protein
PROD_00104	CDS	942				hypothetical protein
