genome,pulid,protein_id,contig,start,end,strand,dist,protein_name,sus,hmm,Cazy_Fam,sub_fam,active,pul_subs,direction,new_labels
PINT,PUL1,PINT_02791,gnl|HZI|PINT_11,114649,116781,-,0,PINT_02791,susD,NA,NA,NA,NA,NA,-1,susD
PINT,PUL1,PINT_02792,gnl|HZI|PINT_11,116816,120028,-,35,PINT_02792,susC_1,NA,NA,NA,NA,NA,-1,susC
PINT,PUL1,PINT_02793,gnl|HZI|PINT_11,120390,122558,-,362,PINT_02793,PL11,PL11,PL11,NA,NA,NA,-1,PL
PINT,PUL2,PINT_00866,gnl|HZI|PINT_2,382236,383972,-,259678,PINT_00866,susD,NA,NA,NA,NA,NA,-1,susD
PINT,PUL2,PINT_00867,gnl|HZI|PINT_2,383995,387093,-,23,PINT_00867,susC_1,NA,NA,NA,NA,NA,-1,susC
PINT,PUL3,PINT_01043,gnl|HZI|PINT_3,57149,60184,+,-329944,PINT_01043,susC_1,NA,NA,NA,NA,NA,1,susC
PINT,PUL3,PINT_01044,gnl|HZI|PINT_3,60201,62003,+,17,PINT_01044,susD,NA,NA,NA,NA,NA,1,susD
PINT,PUL4,PINT_01251,gnl|HZI|PINT_3,289913,292444,-,227910,PINT_01251,susC_1,NA,NA,NA,NA,NA,-1,susC
PINT,PUL4,PINT_01252,gnl|HZI|PINT_3,292705,292917,-,261,PINT_01252,none,NA,NA,NA,NA,NA,-1,none
PINT,PUL4,PINT_01253,gnl|HZI|PINT_3,292991,294673,+,74,PINT_01253,none,NA,NA,NA,NA,NA,1,none
PINT,PUL4,PINT_01254,gnl|HZI|PINT_3,295098,295250,-,425,PINT_01254,none,NA,NA,NA,NA,NA,-1,none
PINT,PUL4,PINT_01255,gnl|HZI|PINT_3,295448,298702,+,198,PINT_01255,susC,NA,NA,NA,NA,NA,1,susC
PINT,PUL4,PINT_01256,gnl|HZI|PINT_3,298739,300232,+,37,PINT_01256,susD,NA,NA,NA,NA,NA,1,susD
PINT,PUL4,PINT_01257,gnl|HZI|PINT_3,300269,301714,+,37,PINT_01257,none,NA,NA,NA,NA,NA,1,none
PINT,PUL4,PINT_01258,gnl|HZI|PINT_3,301851,303203,+,137,PINT_01258,GH16,GH16,GH16,NA,NA,NA,1,GH
PINT,PUL4,PINT_01259,gnl|HZI|PINT_3,303435,304559,+,232,PINT_01259,GH5,GH5_46,GH5,46,NA,NA,1,GH
PINT,PUL4,PINT_01260,gnl|HZI|PINT_3,304962,307190,+,403,PINT_01260,GH3,GH3,GH3,NA,NA,NA,1,GH
PINT,PUL4,PINT_01261,gnl|HZI|PINT_3,307266,309506,+,76,PINT_01261,GH3,GH3,GH3,NA,NA,NA,1,GH
PINT,PUL5,PINT_01265,gnl|HZI|PINT_3,315037,318144,+,5531,PINT_01265,susC_1,NA,NA,NA,NA,NA,1,susC
PINT,PUL5,PINT_01266,gnl|HZI|PINT_3,318163,319815,+,19,PINT_01266,susD,NA,NA,NA,NA,NA,1,susD
PINT,PUL5,PINT_01267,gnl|HZI|PINT_3,320015,320569,+,200,PINT_01267,none,NA,NA,NA,NA,NA,1,none
PINT,PUL5,PINT_01268,gnl|HZI|PINT_3,320688,323003,+,119,PINT_01268,GH88,GH88,GH88,NA,NA,N/O-glycans,1,GH
PINT,PUL5,PINT_01269,gnl|HZI|PINT_3,323020,324762,+,17,PINT_01269,GH18,GH18,GH18,NA,NA,N/O-glycans,1,GH
PINT,PUL5,PINT_01270,gnl|HZI|PINT_3,324794,327406,+,32,PINT_01270,GH2,GH2;CBM57,GH2,CBM57,NA,NA,1,GH
PINT,PUL6,PINT_01426,gnl|HZI|PINT_4,10910,12961,-,-316496,PINT_01426,susD,NA,NA,NA,NA,NA,-1,susD
PINT,PUL6,PINT_01427,gnl|HZI|PINT_4,12984,16172,-,23,PINT_01427,susC_1,NA,NA,NA,NA,NA,-1,susC
PINT,PUL6,PINT_01428,gnl|HZI|PINT_4,16334,16507,+,162,PINT_01428,none,NA,NA,NA,NA,NA,1,none
PINT,PUL6,PINT_01429,gnl|HZI|PINT_4,16511,19195,-,4,PINT_01429,PL1,PL1_2,PL1,2,NA,Pectin,-1,PL
PINT,PUL7,PINT_01461,gnl|HZI|PINT_4,60403,62406,+,41208,PINT_01461,susC_1,NA,NA,NA,NA,NA,1,susC
PINT,PUL7,PINT_01462,gnl|HZI|PINT_4,62519,63769,+,113,PINT_01462,none,NA,NA,NA,NA,NA,1,none
PINT,PUL7,PINT_01463,gnl|HZI|PINT_4,63975,66887,+,206,PINT_01463,none,NA,NA,NA,NA,NA,1,none
PINT,PUL7,PINT_01464,gnl|HZI|PINT_4,67061,68833,-,174,PINT_01464,susD,NA,NA,NA,NA,NA,-1,susD
PINT,PUL7,PINT_01465,gnl|HZI|PINT_4,68875,71931,-,42,PINT_01465,susC,NA,NA,NA,NA,NA,-1,susC
PINT,PUL7,PINT_01466,gnl|HZI|PINT_4,72375,72488,+,444,PINT_01466,none,NA,NA,NA,NA,NA,1,none
PINT,PUL7,PINT_01467,gnl|HZI|PINT_4,72468,73595,-,-20,PINT_01467,none,NA,NA,NA,NA,NA,-1,none
PINT,PUL7,PINT_01468,gnl|HZI|PINT_4,73677,74777,-,82,PINT_01468,GT4,GT4,GT4,NA,NA,NA,-1,GT
PINT,PUL8,PINT_01542,gnl|HZI|PINT_4,175393,178719,+,100616,PINT_01542,susC_1,NA,NA,NA,NA,NA,1,susC
PINT,PUL8,PINT_01543,gnl|HZI|PINT_4,178746,180839,+,27,PINT_01543,susD,NA,NA,NA,NA,NA,1,susD
PINT,PUL8,PINT_01544,gnl|HZI|PINT_4,180898,183732,+,59,PINT_01544,susC,NA,NA,NA,NA,NA,1,susC
PINT,PUL8,PINT_01545,gnl|HZI|PINT_4,183755,185473,+,23,PINT_01545,susD,NA,NA,NA,NA,NA,1,susD
PINT,PUL9,PINT_01684,gnl|HZI|PINT_4,347323,349251,-,161850,PINT_01684,susD,NA,NA,NA,NA,NA,-1,susD
PINT,PUL9,PINT_01685,gnl|HZI|PINT_4,349303,352461,-,52,PINT_01685,susC_1,NA,NA,NA,NA,NA,-1,susC
PINT,PUL9,PINT_01686,gnl|HZI|PINT_4,352837,354438,-,376,PINT_01686,none,NA,NA,NA,NA,NA,-1,none
PINT,PUL9,PINT_01687,gnl|HZI|PINT_4,354666,355325,+,228,PINT_01687,none,NA,NA,NA,NA,NA,1,none
PINT,PUL9,PINT_01688,gnl|HZI|PINT_4,355558,356958,-,233,PINT_01688,none,NA,NA,NA,NA,NA,-1,none
PINT,PUL9,PINT_01689,gnl|HZI|PINT_4,357274,358632,-,316,PINT_01689,GH28,GH28,GH28,NA,NA,Pectin,-1,GH
PINT,PUL10,PINT_01766,gnl|HZI|PINT_5,52557,54842,-,-306075,PINT_01766,susD,NA,NA,NA,NA,NA,-1,susD
PINT,PUL10,PINT_01767,gnl|HZI|PINT_5,54856,58200,-,14,PINT_01767,susC_1,NA,NA,NA,NA,NA,-1,susC
PINT,PUL10,PINT_01768,gnl|HZI|PINT_5,58253,59683,-,53,PINT_01768,none,NA,NA,NA,NA,NA,-1,none
PINT,PUL10,PINT_01769,gnl|HZI|PINT_5,59777,60655,-,94,PINT_01769,none,NA,NA,NA,NA,NA,-1,none
PINT,PUL10,PINT_01770,gnl|HZI|PINT_5,60839,61807,-,184,PINT_01770,PL1,PL1_2,PL1,2,NA,Pectin,-1,PL
PINT,PUL10,PINT_01771,gnl|HZI|PINT_5,61815,62486,-,8,PINT_01771,PL1,PL1_2,PL1,2,NA,Pectin,-1,PL
PINT,PUL10,PINT_01772,gnl|HZI|PINT_5,62748,62873,-,262,PINT_01772,none,NA,NA,NA,NA,NA,-1,none
PINT,PUL10,PINT_01773,gnl|HZI|PINT_5,63363,63458,+,490,PINT_01773,none,NA,NA,NA,NA,NA,1,none
PINT,PUL10,PINT_01774,gnl|HZI|PINT_5,63547,64515,+,89,PINT_01774,PL1,PL1_2,PL1,2,NA,Pectin,1,PL
PINT,PUL10,PINT_01775,gnl|HZI|PINT_5,64699,65577,+,184,PINT_01775,none,NA,NA,NA,NA,NA,1,none
PINT,PUL10,PINT_01776,gnl|HZI|PINT_5,65792,67288,+,215,PINT_01776,none,NA,NA,NA,NA,NA,1,none
PINT,PUL10,PINT_01777,gnl|HZI|PINT_5,67314,70634,+,26,PINT_01777,susC,NA,NA,NA,NA,NA,1,susC
PINT,PUL10,PINT_01778,gnl|HZI|PINT_5,70673,72877,+,39,PINT_01778,susD,NA,NA,NA,NA,NA,1,susD
PINT,PUL11,PINT_01806,gnl|HZI|PINT_5,106573,108501,-,33696,PINT_01806,GH67,GH67,GH67,NA,NA,NA,-1,GH
PINT,PUL11,PINT_01807,gnl|HZI|PINT_5,108688,109884,+,187,PINT_01807,none,NA,NA,NA,NA,NA,1,none
PINT,PUL11,PINT_01808,gnl|HZI|PINT_5,109975,111381,+,91,PINT_01808,none,NA,NA,NA,NA,NA,1,none
PINT,PUL11,PINT_01809,gnl|HZI|PINT_5,111378,112505,+,-3,PINT_01809,GH10,GH10,GH10,NA,NA,Xylans,1,GH
PINT,PUL11,PINT_01810,gnl|HZI|PINT_5,112619,113590,+,114,PINT_01810,GH43,GH43_1,GH43,1,NA,Xylans,1,GH
PINT,PUL11,PINT_01811,gnl|HZI|PINT_5,113887,115956,-,297,PINT_01811,GH43,GH43_35,GH43,35,NA,Xylans,-1,GH
PINT,PUL11,PINT_01812,gnl|HZI|PINT_5,116151,117068,-,195,PINT_01812,none,NA,NA,NA,NA,NA,-1,none
PINT,PUL11,PINT_01813,gnl|HZI|PINT_5,117118,118383,-,50,PINT_01813,GH5,GH5_21,GH5,21,NA,NA,-1,GH
PINT,PUL11,PINT_01814,gnl|HZI|PINT_5,118518,120668,-,135,PINT_01814,GH10,GH10,GH10,NA,NA,Xylans,-1,GH
PINT,PUL11,PINT_01815,gnl|HZI|PINT_5,120685,121716,-,17,PINT_01815,none,NA,NA,NA,NA,NA,-1,none
PINT,PUL11,PINT_01816,gnl|HZI|PINT_5,121762,123564,-,46,PINT_01816,susD,NA,NA,NA,NA,NA,-1,susD
PINT,PUL11,PINT_01817,gnl|HZI|PINT_5,123606,126509,-,42,PINT_01817,susC_1,NA,NA,NA,NA,NA,-1,susC
PINT,PUL11,PINT_01818,gnl|HZI|PINT_5,126588,128537,-,79,PINT_01818,susD,NA,NA,NA,NA,NA,-1,susD
PINT,PUL11,PINT_01819,gnl|HZI|PINT_5,128570,131746,-,33,PINT_01819,susC,NA,NA,NA,NA,NA,-1,susC
PINT,PUL12,PINT_01927,gnl|HZI|PINT_5,281303,283396,-,149557,PINT_01927,susD,NA,NA,NA,NA,NA,-1,susD
PINT,PUL12,PINT_01928,gnl|HZI|PINT_5,283412,286732,-,16,PINT_01928,susC_1,NA,NA,NA,NA,NA,-1,susC
PINT,PUL12,PINT_01929,gnl|HZI|PINT_5,286813,287127,+,81,PINT_01929,none,NA,NA,NA,NA,NA,1,none
PINT,PUL12,PINT_01930,gnl|HZI|PINT_5,287405,290779,+,278,PINT_01930,susC,NA,NA,NA,NA,NA,1,susC
PINT,PUL12,PINT_01931,gnl|HZI|PINT_5,290801,292615,+,22,PINT_01931,susD,NA,NA,NA,NA,NA,1,susD
PINT,PUL12,PINT_01932,gnl|HZI|PINT_5,292641,293126,+,26,PINT_01932,none,NA,NA,NA,NA,NA,1,none
PINT,PUL12,PINT_01933,gnl|HZI|PINT_5,293238,294179,+,112,PINT_01933,none,NA,NA,NA,NA,NA,1,none
PINT,PUL12,PINT_01934,gnl|HZI|PINT_5,294281,294472,+,102,PINT_01934,none,NA,NA,NA,NA,NA,1,none
PINT,PUL12,PINT_01935,gnl|HZI|PINT_5,294628,297867,+,156,PINT_01935,susC,NA,NA,NA,NA,NA,1,susC
PINT,PUL12,PINT_01936,gnl|HZI|PINT_5,297892,299922,+,25,PINT_01936,susD,NA,NA,NA,NA,NA,1,susD
PINT,PUL13,PINT_02084,gnl|HZI|PINT_6,131252,132823,-,-168670,PINT_02084,susD,NA,NA,NA,NA,NA,-1,susD
PINT,PUL13,PINT_02085,gnl|HZI|PINT_6,132835,136152,-,12,PINT_02085,susC_1,NA,NA,NA,NA,NA,-1,susC
PINT,PUL14,PINT_02086,gnl|HZI|PINT_6,136825,138486,-,673,PINT_02086,susD,NA,NA,NA,NA,NA,-1,susD
PINT,PUL14,PINT_02087,gnl|HZI|PINT_6,138518,141715,-,32,PINT_02087,susC_1,NA,NA,NA,NA,NA,-1,susC
PINT,PUL14,PINT_02088,gnl|HZI|PINT_6,141910,142029,+,195,PINT_02088,none,NA,NA,NA,NA,NA,1,none
PINT,PUL14,PINT_02089,gnl|HZI|PINT_6,142016,142978,+,-13,PINT_02089,none,NA,NA,NA,NA,NA,1,none
PINT,PUL14,PINT_02090,gnl|HZI|PINT_6,143319,143537,-,341,PINT_02090,none,NA,NA,NA,NA,NA,-1,none
PINT,PUL14,PINT_02091,gnl|HZI|PINT_6,143569,146784,+,32,PINT_02091,susC,NA,NA,NA,NA,NA,1,susC
PINT,PUL14,PINT_02092,gnl|HZI|PINT_6,146815,148413,+,31,PINT_02092,susD,NA,NA,NA,NA,NA,1,susD
PINT,PUL15,PINT_02107,gnl|HZI|PINT_6,163785,166013,+,15372,PINT_02107,susC_1,NA,NA,NA,NA,NA,1,susC
PINT,PUL15,PINT_02108,gnl|HZI|PINT_6,166032,168266,+,19,PINT_02108,GH36,GH36,GH36,NA,NA,NA,1,GH
PINT,PUL15,PINT_02109,gnl|HZI|PINT_6,168383,170215,-,117,PINT_02109,susD,NA,NA,NA,NA,NA,-1,susD
PINT,PUL15,PINT_02110,gnl|HZI|PINT_6,170228,173278,-,13,PINT_02110,susC,NA,NA,NA,NA,NA,-1,susC
PINT,PUL15,PINT_02111,gnl|HZI|PINT_6,173776,173961,+,498,PINT_02111,none,NA,NA,NA,NA,NA,1,none
PINT,PUL15,PINT_02113,gnl|HZI|PINT_6,174337,176703,+,376,PINT_02113,susC,NA,NA,NA,NA,NA,1,susC
PINT,PUL15,PINT_02114,gnl|HZI|PINT_6,176817,179147,-,114,PINT_02114,PL1,PL1,PL1,NA,NA,Pectin,-1,PL
PINT,PUL16,PINT_02498,gnl|HZI|PINT_9,58605,61730,+,-120542,PINT_02498,susC_1,NA,NA,NA,NA,NA,1,susC
PINT,PUL16,PINT_02499,gnl|HZI|PINT_9,61777,63465,+,47,PINT_02499,susD,NA,NA,NA,NA,NA,1,susD
PINT,PUL16,PINT_02500,gnl|HZI|PINT_9,63492,65423,+,27,PINT_02500,none,NA,NA,NA,NA,NA,1,none
PINT,PUL16,PINT_02501,gnl|HZI|PINT_9,65440,68049,+,17,PINT_02501,none,NA,NA,NA,NA,NA,1,none
PINT,PUL16,PINT_02502,gnl|HZI|PINT_9,68086,69576,+,37,PINT_02502,GH5,GH5_4,GH5,4,NA,NA,1,GH
