genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
MAG593	PUL1	MAG593_02126	gnl|HZI|MAG593_106	3419	4966	-	0	MAG593_02126	susD		
MAG593	PUL1	MAG593_02127	gnl|HZI|MAG593_106	4989	8048	-	23	MAG593_02127	susC		
MAG593	PUL2	MAG593_00627	gnl|HZI|MAG593_13	35990	39073	-	27942	MAG593_00627	susC		
MAG593	PUL2	MAG593_00628	gnl|HZI|MAG593_13	39077	40852	-	4	MAG593_00628	susD		
MAG593	PUL3	MAG593_00901	gnl|HZI|MAG593_22	22955	25276	-	-17897	MAG593_00901		GH3	
MAG593	PUL3	MAG593_00902	gnl|HZI|MAG593_22	25289	26545	-	13	MAG593_00902			
MAG593	PUL3	MAG593_00903	gnl|HZI|MAG593_22	26573	28252	-	28	MAG593_00903	susD		
MAG593	PUL3	MAG593_00904	gnl|HZI|MAG593_22	28258	31446	-	6	MAG593_00904	susC		
MAG593	PUL3	MAG593_00905	gnl|HZI|MAG593_22	31458	32294	-	12	MAG593_00905		GH16	
MAG593	PUL4	MAG593_01055	gnl|HZI|MAG593_28	10357	13512	+	-21937	MAG593_01055	susC		
MAG593	PUL4	MAG593_01056	gnl|HZI|MAG593_28	13556	15199	+	44	MAG593_01056	susD		
MAG593	PUL5	MAG593_01225	gnl|HZI|MAG593_35	1787	4918	+	-13412	MAG593_01225	susC		
MAG593	PUL5	MAG593_01226	gnl|HZI|MAG593_35	4971	7046	+	53	MAG593_01226	susD		
MAG593	PUL6	MAG593_01256	gnl|HZI|MAG593_37	1221	3494	-	-5825	MAG593_01256		GH95	
MAG593	PUL6	MAG593_01257	gnl|HZI|MAG593_37	3660	4031	+	166	MAG593_01257			
MAG593	PUL6	MAG593_01258	gnl|HZI|MAG593_37	4429	7602	-	398	MAG593_01258			
MAG593	PUL6	MAG593_01259	gnl|HZI|MAG593_37	7805	9838	-	203	MAG593_01259	susD		
MAG593	PUL6	MAG593_01260	gnl|HZI|MAG593_37	9867	13031	-	29	MAG593_01260	susC		
MAG593	PUL7	MAG593_01310	gnl|HZI|MAG593_40	3711	6983	+	-9320	MAG593_01310	susC		
MAG593	PUL7	MAG593_01311	gnl|HZI|MAG593_40	7005	8966	+	22	MAG593_01311	susD		
MAG593	PUL8	MAG593_01313	gnl|HZI|MAG593_40	10582	13788	+	1616	MAG593_01313	susC		
MAG593	PUL8	MAG593_01314	gnl|HZI|MAG593_40	13803	15638	+	15	MAG593_01314	susD		
MAG593	PUL9	MAG593_01352	gnl|HZI|MAG593_42	3351	5321	+	-12287	MAG593_01352		GH97	
MAG593	PUL9	MAG593_01353	gnl|HZI|MAG593_42	5425	7008	+	104	MAG593_01353		GH28	
MAG593	PUL9	MAG593_01354	gnl|HZI|MAG593_42	7250	8980	+	242	MAG593_01354		GH28	
MAG593	PUL9	MAG593_01355	gnl|HZI|MAG593_42	9197	10840	+	217	MAG593_01355			
MAG593	PUL9	MAG593_01356	gnl|HZI|MAG593_42	11116	14310	+	276	MAG593_01356	susC		
MAG593	PUL9	MAG593_01357	gnl|HZI|MAG593_42	14324	16144	+	14	MAG593_01357	susD		
MAG593	PUL10	MAG593_00315	gnl|HZI|MAG593_5	7980	10211	-	-8164	MAG593_00315		GH3	
MAG593	PUL10	MAG593_00316	gnl|HZI|MAG593_5	10341	11564	-	130	MAG593_00316		GH5_46	
MAG593	PUL10	MAG593_00317	gnl|HZI|MAG593_5	11673	12755	-	109	MAG593_00317		GH16	
MAG593	PUL10	MAG593_00318	gnl|HZI|MAG593_5	13024	14892	-	269	MAG593_00318			
MAG593	PUL10	MAG593_00319	gnl|HZI|MAG593_5	14916	16454	-	24	MAG593_00319	susD		
MAG593	PUL10	MAG593_00320	gnl|HZI|MAG593_5	16555	19728	-	101	MAG593_00320	susC		
MAG593	PUL11	MAG593_00364	gnl|HZI|MAG593_6	25708	27231	-	5980	MAG593_00364	susD		
MAG593	PUL11	MAG593_00365	gnl|HZI|MAG593_6	27252	30218	-	21	MAG593_00365	susC		
MAG593	PUL12	MAG593_00369	gnl|HZI|MAG593_6	32384	35617	+	2166	MAG593_00369	susC		
MAG593	PUL12	MAG593_00370	gnl|HZI|MAG593_6	35646	37265	+	29	MAG593_00370	susD		
MAG593	PUL12	MAG593_00371	gnl|HZI|MAG593_6	37304	39313	+	39	MAG593_00371			
MAG593	PUL12	MAG593_00372	gnl|HZI|MAG593_6	39527	41614	+	214	MAG593_00372			
MAG593	PUL12	MAG593_00373	gnl|HZI|MAG593_6	42106	42840	+	492	MAG593_00373			
MAG593	PUL12	MAG593_00374	gnl|HZI|MAG593_6	42949	45576	+	109	MAG593_00374		CBM67;GH78	
MAG593	PUL13	MAG593_01803	gnl|HZI|MAG593_71	10184	12154	-	-35392	MAG593_01803	susD		
MAG593	PUL13	MAG593_01804	gnl|HZI|MAG593_71	12170	15259	-	16	MAG593_01804	susC		
MAG593	PUL14	MAG593_01999	gnl|HZI|MAG593_90	4772	7876	+	-10487	MAG593_01999	susC		
MAG593	PUL14	MAG593_02000	gnl|HZI|MAG593_90	7896	9980	+	20	MAG593_02000	susD		
